tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-560,US Open,Hard,128,G,20080825,88,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.2,103470,,Q,Robert Kendrick,R,190.0,USA,28.7,7-6(8) 6-4 6-4,5,R64,126.0,11.0,0.0,106.0,77.0,56.0,20.0,16.0,4.0,4.0,19.0,7.0,102.0,58.0,46.0,21.0,16.0,1.0,3.0,3.0,5105.0,113.0,433.0
2008-560,US Open,Hard,128,G,20080825,108,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.2,105227,30.0,,Marin Cilic,R,198.0,CRO,19.9,6-7(7) 7-5 6-4 7-6(0),5,R32,232.0,8.0,3.0,149.0,104.0,74.0,26.0,23.0,6.0,10.0,20.0,12.0,161.0,81.0,65.0,32.0,23.0,7.0,13.0,3.0,5105.0,24.0,1145.0
2008-560,US Open,Hard,128,G,20080825,118,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.2,103990,15.0,,Tommy Robredo,R,180.0,ESP,26.3,4-6 6-2 6-3 5-7 6-3,5,R16,223.0,11.0,4.0,140.0,91.0,68.0,26.0,24.0,2.0,5.0,8.0,5.0,153.0,102.0,67.0,26.0,24.0,7.0,13.0,3.0,5105.0,15.0,1360.0
2008-560,US Open,Hard,128,G,20080825,123,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.2,104053,8.0,,Andy Roddick,R,188.0,USA,25.9,6-2 6-3 3-6 7-6(5),5,QF,154.0,15.0,2.0,108.0,70.0,50.0,27.0,19.0,7.0,10.0,14.0,7.0,116.0,80.0,56.0,17.0,19.0,0.0,5.0,3.0,5105.0,8.0,1845.0
2008-580,Australian Open,Hard,128,G,20080114,17,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,103794,,,Benjamin Becker,R,178.0,GER,26.5,6-0 6-2 7-6(5),5,R128,120.0,6.0,4.0,79.0,50.0,42.0,13.0,13.0,1.0,2.0,7.0,2.0,82.0,38.0,22.0,19.0,13.0,1.0,7.0,3.0,4315.0,81.0,496.0
2008-580,Australian Open,Hard,128,G,20080114,73,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,104620,,,Simone Bolelli,R,183.0,ITA,22.2,6-1 6-2 6-2,5,R64,92.0,12.0,3.0,73.0,45.0,34.0,18.0,12.0,2.0,2.0,5.0,2.0,64.0,38.0,19.0,11.0,11.0,2.0,8.0,3.0,4315.0,70.0,541.0
2008-580,Australian Open,Hard,128,G,20080114,101,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,105023,,,Sam Querrey,R,198.0,USA,20.2,6-3 6-1 6-3,5,R32,94.0,5.0,1.0,62.0,46.0,35.0,13.0,12.0,3.0,4.0,8.0,5.0,92.0,57.0,35.0,11.0,13.0,7.0,14.0,3.0,4315.0,62.0,588.0
2008-580,Australian Open,Hard,128,G,20080114,115,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,103720,19.0,,Lleyton Hewitt,R,180.0,AUS,26.8,7-5 6-3 6-3,5,R16,146.0,13.0,6.0,104.0,62.0,45.0,19.0,15.0,4.0,7.0,6.0,4.0,90.0,48.0,28.0,18.0,15.0,5.0,12.0,3.0,4315.0,22.0,1385.0
2008-580,Australian Open,Hard,128,G,20080114,125,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,103819,1.0,,Roger Federer,R,185.0,SUI,26.4,7-5 6-3 7-6(5),5,SF,146.0,13.0,6.0,113.0,77.0,60.0,15.0,17.0,7.0,9.0,10.0,2.0,109.0,68.0,48.0,18.0,16.0,7.0,11.0,3.0,4315.0,1.0,7180.0
2008-580,Australian Open,Hard,128,G,20080114,127,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.6,104542,,,Jo-Wilfried Tsonga,R,188.0,FRA,22.7,4-6 6-4 6-3 7-6(2),5,F,185.0,11.0,2.0,122.0,68.0,53.0,34.0,20.0,3.0,5.0,15.0,2.0,136.0,97.0,69.0,18.0,21.0,8.0,12.0,3.0,4315.0,38.0,789.0
