tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2013-5014,Shanghai Masters,Hard,56,M,20131007,54,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,25.0,104745,2.0,,Rafael Nadal,L,185.0,ESP,27.3,6-2 6-4,3,SF,106.0,5.0,0.0,65.0,52.0,34.0,9.0,9.0,6.0,6.0,0.0,4.0,67.0,47.0,26.0,12.0,9.0,8.0,11.0,5.0,4925.0,1.0,11160.0
2013-352,Paris Masters,Hard,48,M,20131028,45,103970,3.0,,David Ferrer,R,175.0,ESP,31.5,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4,6-3 7-5,3,SF,98.0,3.0,3.0,73.0,50.0,36.0,13.0,11.0,6.0,7.0,1.0,0.0,59.0,41.0,28.0,7.0,10.0,5.0,8.0,3.0,6600.0,1.0,11670.0
2014-580,Australian Open,Hard,128,G,20140113,127,104527,8.0,,Stan Wawrinka,R,183.0,SUI,28.7,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.6,6-3 6-2 3-6 6-3,5,F,141.0,19.0,2.0,96.0,53.0,46.0,22.0,18.0,4.0,6.0,1.0,3.0,108.0,84.0,50.0,10.0,17.0,10.0,15.0,8.0,3890.0,1.0,13130.0
2014-404,Indian Wells Masters,Hard,96,M,20140306,65,105238,28.0,,Alexandr Dolgopolov,R,180.0,UKR,25.3,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.7,6-3 3-6 7-6(5),3,R32,139.0,11.0,3.0,96.0,39.0,30.0,27.0,15.0,2.0,6.0,2.0,1.0,87.0,55.0,39.0,17.0,15.0,1.0,5.0,31.0,1205.0,1.0,14085.0
2014-410,Monte Carlo Masters,Clay,56,M,20140413,49,103970,6.0,,David Ferrer,R,175.0,ESP,32.0,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.8,7-6(1) 6-4,3,QF,134.0,1.0,1.0,90.0,55.0,33.0,20.0,11.0,7.0,10.0,1.0,2.0,80.0,49.0,29.0,14.0,11.0,6.0,10.0,6.0,4640.0,1.0,13730.0
2014-425,Barcelona,Clay,48,A,20140421,41,104597,6.0,,Nicolas Almagro,R,183.0,ESP,28.6,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.8,2-6 7-6(5) 6-4,3,QF,167.0,4.0,2.0,121.0,65.0,43.0,25.0,15.0,13.0,18.0,2.0,4.0,91.0,61.0,43.0,14.0,15.0,3.0,7.0,20.0,1750.0,1.0,13310.0
2014-500,Halle,Grass,28,A,20140609,13,104460,,WC,Dustin Brown,R,196.0,GER,29.5,104745,1.0,,Rafael Nadal,L,185.0,ESP,28.0,6-4 6-1,3,R16,60.0,11.0,5.0,51.0,31.0,26.0,12.0,9.0,1.0,1.0,2.0,0.0,47.0,32.0,22.0,6.0,8.0,6.0,9.0,85.0,633.0,1.0,12500.0
2014-540,Wimbledon,Grass,128,G,20140623,120,106401,,WC,Nick Kyrgios,R,193.0,AUS,19.1,104745,2.0,,Rafael Nadal,L,185.0,ESP,28.0,7-6(5) 5-7 7-6(5) 6-3,5,R16,178.0,37.0,4.0,144.0,98.0,81.0,25.0,23.0,2.0,3.0,11.0,3.0,137.0,100.0,77.0,22.0,22.0,3.0,4.0,144.0,400.0,1.0,12500.0
2014-5014,Shanghai Masters,Hard,56,M,20141005,40,103852,,,Feliciano Lopez,L,188.0,ESP,33.0,104745,2.0,,Rafael Nadal,L,185.0,ESP,28.3,6-3 7-6(6),3,R32,104.0,15.0,3.0,79.0,45.0,34.0,20.0,11.0,4.0,5.0,5.0,1.0,68.0,46.0,29.0,13.0,10.0,2.0,4.0,21.0,1745.0,2.0,8455.0
2014-328,Basel,Hard,32,A,20141020,28,106432,,WC,Borna Coric,R,188.0,CRO,17.9,104745,2.0,,Rafael Nadal,L,185.0,ESP,28.3,6-2 7-6(4),3,QF,101.0,6.0,2.0,74.0,36.0,29.0,20.0,10.0,3.0,4.0,1.0,0.0,60.0,44.0,30.0,7.0,10.0,2.0,5.0,124.0,447.0,3.0,8105.0
2015-580,Australian Open,Hard,128,G,20150119,123,104607,7.0,,Tomas Berdych,R,196.0,CZE,29.3,104745,3.0,,Rafael Nadal,L,185.0,ESP,28.6,6-2 6-0 7-6(5),5,QF,133.0,11.0,0.0,87.0,58.0,48.0,13.0,13.0,4.0,4.0,3.0,6.0,82.0,61.0,39.0,6.0,13.0,5.0,10.0,7.0,4660.0,3.0,6585.0
2015-6932,Rio de Janeiro,Clay,32,A,20150216,29,104926,4.0,,Fabio Fognini,R,178.0,ITA,27.7,104745,1.0,,Rafael Nadal,L,185.0,ESP,28.7,1-6 6-2 7-5,3,SF,138.0,2.0,5.0,86.0,56.0,38.0,14.0,13.0,5.0,9.0,0.0,6.0,91.0,56.0,36.0,15.0,14.0,4.0,9.0,28.0,1320.0,3.0,5745.0
2015-404,Indian Wells Masters,Hard,96,M,20150312,91,105683,6.0,,Milos Raonic,R,196.0,CAN,24.1,104745,3.0,,Rafael Nadal,L,185.0,ESP,28.7,4-6 7-6(10) 7-5,3,QF,178.0,19.0,6.0,119.0,73.0,59.0,22.0,17.0,6.0,7.0,7.0,1.0,103.0,66.0,54.0,24.0,17.0,3.0,4.0,6.0,4980.0,3.0,5675.0
2015-425,Barcelona,Clay,48,A,20150420,40,104926,13.0,,Fabio Fognini,R,178.0,ITA,27.9,104745,2.0,,Rafael Nadal,L,185.0,ESP,28.8,6-4 7-6(6),3,R16,121.0,1.0,1.0,87.0,47.0,33.0,20.0,11.0,11.0,14.0,1.0,0.0,71.0,50.0,29.0,11.0,11.0,4.0,8.0,30.0,1240.0,4.0,5435.0
2015-1536,Madrid Masters,Clay,56,M,20150503,55,104918,2.0,,Andy Murray,R,190.0,GBR,27.9,104745,3.0,,Rafael Nadal,L,185.0,ESP,28.9,6-3 6-2,3,F,89.0,3.0,1.0,52.0,31.0,21.0,17.0,9.0,3.0,3.0,1.0,1.0,47.0,34.0,23.0,6.0,8.0,3.0,6.0,3.0,6220.0,4.0,5390.0
2015-416,Rome Masters,Clay,56,M,20150510,51,104527,8.0,,Stan Wawrinka,R,183.0,SUI,30.1,104745,4.0,,Rafael Nadal,L,185.0,ESP,28.9,7-6(7) 6-2,3,QF,126.0,1.0,2.0,82.0,47.0,30.0,20.0,10.0,7.0,9.0,1.0,0.0,74.0,52.0,35.0,8.0,10.0,3.0,7.0,9.0,3575.0,7.0,4990.0
2015-540,Wimbledon,Grass,128,G,20150629,84,104460,,Q,Dustin Brown,R,196.0,GER,30.5,104745,10.0,,Rafael Nadal,L,185.0,ESP,29.0,7-5 3-6 6-4 6-4,5,R64,,13.0,5.0,119.0,79.0,61.0,21.0,21.0,2.0,5.0,9.0,3.0,130.0,93.0,64.0,17.0,20.0,7.0,11.0,102.0,509.0,10.0,3135.0
2015-421,Canada Masters,Hard,56,M,20150810,51,105453,4.0,,Kei Nishikori,R,178.0,JPN,25.6,104745,7.0,,Rafael Nadal,L,185.0,ESP,29.1,6-2 6-4,3,QF,,5.0,3.0,52.0,30.0,24.0,10.0,9.0,2.0,3.0,4.0,6.0,54.0,30.0,20.0,9.0,9.0,0.0,4.0,4.0,6025.0,9.0,3500.0
