tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-520,Roland Garros,Clay,128,G,20210531,116,104745,3.0,,Rafael Nadal,L,185.0,ESP,34.9,200615,,,Alexei Popyrin,R,196.0,AUS,21.8,6-3 6-2 7-6(3),5,R128,143.0,7.0,5.0,93.0,59.0,48.0,19.0,15.0,3.0,4.0,8.0,5.0,89.0,51.0,40.0,17.0,14.0,7.0,11.0,3.0,9630.0,63.0,1052.0
2021-520,Roland Garros,Clay,128,G,20210531,172,104745,3.0,,Rafael Nadal,L,185.0,ESP,34.9,104755,,,Richard Gasquet,R,185.0,FRA,34.9,6-0 7-5 6-2,5,R64,134.0,3.0,3.0,77.0,45.0,38.0,15.0,13.0,3.0,4.0,2.0,5.0,91.0,47.0,33.0,12.0,13.0,9.0,16.0,3.0,9630.0,53.0,1213.0
2021-520,Roland Garros,Clay,128,G,20210531,200,104745,3.0,,Rafael Nadal,L,185.0,ESP,34.9,111815,,,Cameron Norrie,L,188.0,GBR,25.7,6-3 6-3 6-3,5,R32,127.0,3.0,2.0,76.0,47.0,37.0,16.0,14.0,1.0,3.0,2.0,1.0,81.0,48.0,27.0,15.0,13.0,6.0,12.0,3.0,9630.0,45.0,1430.0
2021-520,Roland Garros,Clay,128,G,20210531,221,104745,3.0,,Rafael Nadal,L,185.0,ESP,34.9,106043,10.0,,Diego Schwartzman,R,170.0,ARG,28.7,6-3 4-6 6-4 6-0,5,QF,165.0,6.0,3.0,91.0,60.0,44.0,21.0,18.0,1.0,4.0,3.0,3.0,94.0,59.0,35.0,16.0,17.0,7.0,14.0,3.0,9630.0,10.0,3465.0
2021-580,Australian Open,Hard,128,G,20210208,163,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.6,111513,,,Laslo Djere,R,188.0,SRB,25.6,6-3 6-4 6-1,5,R128,112.0,5.0,1.0,72.0,48.0,40.0,11.0,13.0,4.0,5.0,4.0,5.0,75.0,41.0,26.0,13.0,13.0,5.0,11.0,2.0,9850.0,56.0,1068.0
2021-580,Australian Open,Hard,128,G,20210208,195,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.6,111581,,Q,Michael Mmoh,R,188.0,USA,23.0,6-1 6-4 6-2,5,R64,107.0,7.0,3.0,67.0,51.0,43.0,9.0,13.0,0.0,0.0,8.0,4.0,73.0,46.0,27.0,12.0,12.0,6.0,11.0,2.0,9850.0,177.0,368.0
2021-580,Australian Open,Hard,128,G,20210208,211,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.6,111815,,,Cameron Norrie,L,188.0,GBR,25.4,7-5 6-2 7-5,5,R32,134.0,7.0,1.0,82.0,56.0,43.0,18.0,16.0,0.0,1.0,9.0,4.0,104.0,74.0,51.0,7.0,16.0,7.0,12.0,2.0,9850.0,69.0,935.0
2021-580,Australian Open,Hard,128,G,20210208,219,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.6,104926,16.0,,Fabio Fognini,R,178.0,ITA,33.7,6-3 6-4 6-2,5,R16,136.0,6.0,3.0,72.0,43.0,33.0,20.0,14.0,4.0,6.0,7.0,3.0,100.0,56.0,36.0,18.0,13.0,13.0,19.0,2.0,9850.0,17.0,2535.0
2022-9665,Melbourne,Hard,32,A,20220103,300,104745,1.0,,Rafael Nadal,L,185.0,ESP,35.5,202195,,Q,Maxime Cressy,R,198.0,USA,24.6,7-6(6) 6-3,3,F,107.0,9.0,4.0,64.0,41.0,32.0,15.0,11.0,0.0,1.0,8.0,3.0,70.0,50.0,32.0,12.0,10.0,6.0,8.0,6.0,4875.0,112.0,683.0
2022-9665,Melbourne,Hard,32,A,20220103,299,104745,1.0,,Rafael Nadal,L,185.0,ESP,35.5,200325,,,Emil Ruusuvuori,R,188.0,FIN,22.7,6-4 7-5,3,SF,116.0,3.0,1.0,68.0,47.0,36.0,11.0,11.0,5.0,6.0,3.0,1.0,72.0,59.0,37.0,5.0,11.0,1.0,4.0,6.0,4875.0,95.0,778.0
2022-9665,Melbourne,Hard,32,A,20220103,293,104745,1.0,,Rafael Nadal,L,185.0,ESP,35.5,105575,,Q,Ricardas Berankis,R,175.0,LTU,31.5,6-2 7-5,3,R16,91.0,3.0,2.0,57.0,36.0,28.0,9.0,10.0,0.0,2.0,3.0,3.0,64.0,39.0,22.0,11.0,10.0,3.0,8.0,6.0,4875.0,104.0,739.0
2022-580,Australian Open,Hard,128,G,20220117,131,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,106218,,,Marcos Giron,R,180.0,USA,28.4,6-1 6-4 6-2,5,R128,109.0,7.0,2.0,72.0,51.0,43.0,13.0,13.0,2.0,2.0,2.0,2.0,74.0,49.0,26.0,13.0,12.0,4.0,9.0,5.0,4875.0,66.0,920.0
2022-580,Australian Open,Hard,128,G,20220117,203,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,111575,28.0,,Karen Khachanov,R,198.0,RUS,25.6,6-3 6-2 3-6 6-1,5,R32,170.0,4.0,6.0,98.0,66.0,55.0,18.0,17.0,4.0,5.0,14.0,3.0,109.0,73.0,50.0,14.0,16.0,10.0,15.0,5.0,4875.0,30.0,1748.0
2022-580,Australian Open,Hard,128,G,20220117,215,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,105173,,,Adrian Mannarino,L,183.0,FRA,33.5,7-6(14) 6-2 6-2,5,R16,160.0,16.0,6.0,88.0,48.0,42.0,24.0,14.0,1.0,2.0,7.0,4.0,104.0,55.0,40.0,23.0,14.0,12.0,17.0,5.0,4875.0,69.0,879.0
2022-580,Australian Open,Hard,128,G,20220117,221,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,133430,14.0,,Denis Shapovalov,L,185.0,CAN,22.7,6-3 6-4 4-6 3-6 6-3,5,QF,248.0,8.0,11.0,146.0,100.0,79.0,21.0,24.0,6.0,8.0,20.0,5.0,137.0,80.0,58.0,31.0,23.0,4.0,7.0,5.0,4875.0,14.0,2593.0
2022-580,Australian Open,Hard,128,G,20220117,224,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,126610,7.0,,Matteo Berrettini,R,196.0,ITA,25.7,6-3 6-2 3-6 6-3,5,SF,175.0,5.0,2.0,102.0,70.0,51.0,20.0,18.0,1.0,2.0,14.0,2.0,102.0,68.0,50.0,15.0,17.0,4.0,8.0,5.0,4875.0,7.0,4568.0
2022-580,Australian Open,Hard,128,G,20220117,226,104745,6.0,,Rafael Nadal,L,185.0,ESP,35.6,106421,2.0,,Daniil Medvedev,R,198.0,RUS,25.9,2-6 6-7(5) 6-4 6-4 7-5,5,F,324.0,3.0,5.0,189.0,117.0,78.0,34.0,26.0,16.0,22.0,23.0,5.0,182.0,126.0,89.0,23.0,26.0,15.0,22.0,5.0,4875.0,2.0,8935.0
2022-0807,Acapulco,Hard,32,A,20220221,296,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,126205,,,Tommy Paul,R,185.0,USA,24.7,6-0 7-6(5),3,QF,123.0,2.0,4.0,67.0,39.0,27.0,13.0,9.0,4.0,7.0,4.0,2.0,76.0,47.0,26.0,8.0,9.0,8.0,14.0,5.0,6515.0,39.0,1342.0
2022-0807,Acapulco,Hard,32,A,20220221,281,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,106045,,LL,Denis Kudla,R,180.0,USA,29.5,6-3 6-2,3,R32,76.0,8.0,0.0,40.0,27.0,26.0,10.0,9.0,0.0,0.0,4.0,4.0,56.0,35.0,24.0,7.0,8.0,2.0,5.0,5.0,6515.0,100.0,659.0
2022-0404,Indian Wells Masters,Hard,128,M,20220307,299,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,207989,19.0,,Carlos Alcaraz,R,185.0,ESP,18.8,6-4 4-6 6-3,3,SF,192.0,2.0,4.0,108.0,72.0,45.0,16.0,15.0,9.0,14.0,1.0,3.0,100.0,63.0,38.0,17.0,14.0,15.0,21.0,4.0,6515.0,19.0,2056.0
2022-0404,Indian Wells Masters,Hard,128,M,20220307,291,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,124187,17.0,,Reilly Opelka,R,211.0,USA,24.5,7-6(3) 7-6(5),3,R16,131.0,6.0,3.0,73.0,51.0,43.0,16.0,12.0,3.0,4.0,9.0,5.0,98.0,74.0,56.0,8.0,12.0,4.0,5.0,4.0,6515.0,17.0,2156.0
2022-0404,Indian Wells Masters,Hard,128,M,20220307,281,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,105554,27.0,,Daniel Evans,R,175.0,GBR,31.7,7-5 6-3,3,R32,103.0,4.0,5.0,66.0,40.0,30.0,17.0,11.0,3.0,4.0,3.0,2.0,55.0,28.0,17.0,17.0,10.0,1.0,4.0,4.0,6515.0,29.0,1542.0
2022-0404,Indian Wells Masters,Hard,128,M,20220307,261,104745,4.0,,Rafael Nadal,L,185.0,ESP,35.7,200624,,,Sebastian Korda,R,196.0,USA,21.6,6-2 1-6 7-6(3),3,R64,149.0,5.0,8.0,98.0,61.0,37.0,19.0,13.0,7.0,11.0,3.0,2.0,87.0,45.0,28.0,20.0,14.0,2.0,6.0,4.0,6515.0,38.0,1289.0
2022-1536,Madrid Masters,Clay,64,M,20220502,291,104745,3.0,,Rafael Nadal,L,185.0,ESP,35.9,105676,,Q,David Goffin,R,180.0,BEL,31.4,6-3 5-7 7-6(9),3,R16,189.0,7.0,4.0,109.0,72.0,55.0,20.0,17.0,2.0,5.0,3.0,2.0,116.0,85.0,57.0,14.0,16.0,8.0,11.0,4.0,6435.0,60.0,913.0
2022-1536,Madrid Masters,Clay,64,M,20220502,281,104745,3.0,,Rafael Nadal,L,185.0,ESP,35.9,200175,,,Miomir Kecmanovic,R,183.0,SRB,22.6,6-1 7-6(4),3,R32,115.0,3.0,3.0,65.0,44.0,32.0,11.0,10.0,2.0,4.0,1.0,1.0,63.0,44.0,28.0,6.0,9.0,2.0,6.0,4.0,6435.0,32.0,1291.0
2022-520,Roland Garros,Clay,128,G,20220523,115,104745,5.0,,Rafael Nadal,L,185.0,ESP,35.9,111442,,,Jordan Thompson,R,183.0,AUS,28.0,6-2 6-2 6-2,5,R128,124.0,1.0,0.0,63.0,41.0,30.0,17.0,12.0,1.0,2.0,5.0,1.0,80.0,50.0,24.0,13.0,12.0,4.0,11.0,5.0,5525.0,82.0,748.0
2022-520,Roland Garros,Clay,128,G,20220523,171,104745,5.0,,Rafael Nadal,L,185.0,ESP,35.9,144895,,,Corentin Moutet,L,178.0,FRA,23.0,6-3 6-1 6-4,5,R64,132.0,1.0,2.0,72.0,47.0,34.0,14.0,13.0,2.0,4.0,0.0,3.0,75.0,52.0,30.0,9.0,13.0,5.0,12.0,5.0,5525.0,139.0,451.0
2022-520,Roland Garros,Clay,128,G,20220523,213,104745,5.0,,Rafael Nadal,L,185.0,ESP,35.9,200000,9.0,,Felix Auger Aliassime,R,193.0,CAN,21.7,3-6 6-3 6-2 3-6 6-3,5,R16,263.0,3.0,4.0,134.0,90.0,60.0,29.0,22.0,5.0,9.0,7.0,4.0,153.0,108.0,68.0,22.0,22.0,16.0,22.0,5.0,5525.0,9.0,3820.0
2022-520,Roland Garros,Clay,128,G,20220523,226,104745,5.0,,Rafael Nadal,L,185.0,ESP,35.9,134770,8.0,,Casper Ruud,R,183.0,NOR,23.4,6-3 6-3 6-0,5,F,138.0,1.0,3.0,61.0,39.0,32.0,10.0,12.0,1.0,3.0,0.0,1.0,80.0,54.0,27.0,9.0,12.0,8.0,16.0,5.0,5525.0,8.0,3940.0
2022-540,Wimbledon,Grass,128,G,20220627,163,104745,2.0,,Rafael Nadal,L,185.0,ESP,36.0,202103,,,Francisco Cerundolo,R,185.0,ARG,23.8,6-4 6-3 3-6 6-4,5,R128,213.0,5.0,3.0,127.0,88.0,62.0,17.0,19.0,14.0,18.0,2.0,2.0,130.0,87.0,55.0,20.0,19.0,8.0,14.0,4.0,6525.0,41.0,1070.0
