tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-308,Munich,Clay,32,A,20080428,27,101962,,Q,Younes El Aynaoui,R,193.0,MAR,36.6,105223,,,Juan Martin del Potro,R,198.0,ARG,19.5,6-4 6-4,3,QF,80.0,7.0,1.0,53.0,33.0,29.0,11.0,10.0,1.0,2.0,1.0,1.0,58.0,44.0,26.0,7.0,10.0,2.0,5.0,295.0,120.0,75.0,513.0
2008-328,Basel,Hard,32,A,20081020,30,103900,2.0,,David Nalbandian,R,180.0,ARG,26.8,105223,3.0,,Juan Martin del Potro,R,198.0,ARG,20.0,6-4 6-4,3,SF,80.0,7.0,1.0,57.0,43.0,32.0,8.0,10.0,2.0,3.0,6.0,0.0,56.0,37.0,22.0,11.0,10.0,2.0,5.0,8.0,1750.0,9.0,1735.0
2008-329,Tokyo,Hard,48,A,20080929,47,104607,9.0,,Tomas Berdych,R,196.0,CZE,23.0,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.0,6-1 6-4,3,F,78.0,11.0,0.0,54.0,31.0,27.0,14.0,9.0,3.0,3.0,0.0,2.0,52.0,36.0,22.0,7.0,8.0,5.0,8.0,27.0,1065.0,12.0,1518.0
2008-337,Vienna,Hard,32,A,20081006,22,104259,,,Philipp Kohlschreiber,R,178.0,GER,24.9,105223,3.0,,Juan Martin del Potro,R,198.0,ARG,20.0,W/O,3,R16,,,,,,,,,,,,,,,,,,,,32.0,1015.0,9.0,1685.0
2008-339,Adelaide,Hard,32,A,20071231,9,103188,,,Michael Russell,R,173.0,USA,29.6,105223,7.0,,Juan Martin del Potro,R,198.0,ARG,19.2,6-3 6-3,3,R32,92.0,6.0,0.0,64.0,48.0,34.0,8.0,9.0,5.0,6.0,7.0,9.0,66.0,33.0,20.0,13.0,9.0,9.0,13.0,82.0,481.0,44.0,690.0
2008-352,Paris Masters,Hard,48,M,20081026,36,103900,8.0,,David Nalbandian,R,180.0,ARG,26.8,105223,9.0,,Juan Martin del Potro,R,198.0,ARG,20.0,6-4 6-0,3,R16,66.0,6.0,2.0,47.0,30.0,25.0,8.0,8.0,1.0,2.0,5.0,2.0,52.0,30.0,17.0,6.0,8.0,6.0,11.0,8.0,1875.0,9.0,1820.0
2008-403,Miami Masters,Hard,96,M,20080327,50,103852,32.0,,Feliciano Lopez,L,188.0,ESP,26.5,105223,,,Juan Martin del Potro,R,198.0,ARG,19.4,6-4 6-2,3,R64,65.0,8.0,4.0,56.0,35.0,29.0,8.0,9.0,2.0,3.0,1.0,2.0,44.0,32.0,19.0,5.0,9.0,1.0,5.0,33.0,980.0,66.0,560.0
2008-416,Rome Masters,Clay,56,M,20080505,22,104918,16.0,,Andy Murray,R,190.0,GBR,20.9,105223,,Q,Juan Martin del Potro,R,198.0,ARG,19.6,5-7 6-4 1-0 RET,3,R64,128.0,2.0,1.0,71.0,41.0,27.0,14.0,11.0,2.0,6.0,1.0,1.0,82.0,54.0,30.0,11.0,12.0,2.0,7.0,18.0,1380.0,71.0,538.0
2008-440,s Hertogenbosch,Grass,32,A,20080615,29,103970,1.0,,David Ferrer,R,175.0,ESP,26.2,105223,,,Juan Martin del Potro,R,198.0,ARG,19.7,7-6(4) 6-1,3,SF,87.0,6.0,1.0,78.0,60.0,42.0,11.0,10.0,6.0,6.0,2.0,1.0,52.0,30.0,23.0,12.0,9.0,1.0,3.0,5.0,2905.0,65.0,578.0
2008-520,Roland Garros,Clay,128,G,20080525,83,104620,,,Simone Bolelli,R,183.0,ITA,22.6,105223,,,Juan Martin del Potro,R,198.0,ARG,19.6,3-6 7-6(0) 7-5 6-2,5,R64,190.0,7.0,3.0,134.0,92.0,65.0,24.0,20.0,12.0,15.0,12.0,3.0,117.0,66.0,48.0,27.0,21.0,3.0,8.0,47.0,721.0,68.0,558.0
2008-540,Wimbledon,Grass,128,G,20080623,76,104527,10.0,,Stan Wawrinka,R,183.0,SUI,23.2,105223,,,Juan Martin del Potro,R,198.0,ARG,19.7,7-6(5) 6-3 7-5,5,R64,150.0,14.0,2.0,98.0,58.0,44.0,23.0,16.0,3.0,5.0,3.0,2.0,114.0,74.0,48.0,22.0,17.0,3.0,8.0,9.0,1615.0,62.0,613.0
2008-560,US Open,Hard,128,G,20080825,122,104918,6.0,,Andy Murray,R,190.0,GBR,21.2,105223,17.0,,Juan Martin del Potro,R,198.0,ARG,19.9,7-6(2) 7-6(1) 4-6 7-5,5,QF,237.0,9.0,8.0,144.0,81.0,58.0,29.0,23.0,11.0,18.0,3.0,5.0,159.0,99.0,60.0,32.0,23.0,8.0,15.0,6.0,2415.0,17.0,1343.0
